feature,importance
cat__Demographics Question_Education,0.08152336
cat__Demographics Response_Never married,0.07971865
cat__Demographics Question_Age,0.070901446
cat__Demographics Question_Residence,0.06914565
cat__Demographics Question_Employment,0.06272025
cat__Demographics Response_Higher,0.05839667
cat__Demographics Response_15-24,0.05652665
cat__Demographics Response_Employed for kind,0.054280248
cat__Demographics Response_Urban,0.05310013
cat__Demographics Response_Primary,0.049847476
cat__Demographics Response_Married or living together,0.046909235
cat__Demographics Response_Employed for cash,0.04454301
cat__Demographics Response_35-49,0.0395368
cat__Demographics Response_Secondary,0.03915323
cat__Demographics Response_Rural,0.0383519
"cat__Demographics Response_Widowed, divorced, separated",0.036902577
cat__Demographics Response_Unemployed,0.033851463
cat__Demographics Response_25-34,0.030427668
cat__Demographics Question_Marital status,0.029673692
cat__Demographics Response_No education,0.024489861
cat__Gender_F,0.0
num__SurveyYear,0.0
