feature,importance
cat__Demographics Response_Higher,0.49720448
cat__Gender_M,0.10234779
cat__Gender_F,0.06612579
cat__Demographics Question_Employment,0.040890716
cat__Demographics Response_Unemployed,0.039482217
cat__Demographics Response_Never married,0.03267371
cat__Demographics Response_Married or living together,0.029592307
cat__Demographics Response_25-34,0.027479488
cat__Demographics Response_Secondary,0.025316639
cat__Demographics Response_Urban,0.021467254
cat__Demographics Response_Employed for kind,0.020356413
cat__Demographics Response_No education,0.015961764
cat__Demographics Response_Employed for cash,0.01587782
cat__Demographics Response_35-49,0.013184017
cat__Demographics Response_15-24,0.010507783
cat__Demographics Response_Primary,0.010066263
cat__Demographics Question_Education,0.008425512
"cat__Demographics Response_Widowed, divorced, separated",0.007890894
cat__Demographics Response_Rural,0.0078075626
cat__Demographics Question_Age,0.0061999965
cat__Demographics Question_Marital status,0.0011416571
cat__Demographics Question_Residence,0.0
num__SurveyYear,0.0
