feature,importance
cat__Demographics Response_Employed for kind,0.11588857
cat__Demographics Question_Age,0.071019046
cat__Demographics Response_Urban,0.06314152
cat__Demographics Response_Higher,0.0617388
cat__Demographics Response_15-24,0.05947821
"cat__Demographics Response_Widowed, divorced, separated",0.05657118
cat__Demographics Question_Residence,0.05610496
cat__Demographics Response_Never married,0.055568866
cat__Demographics Question_Marital status,0.054500967
cat__Demographics Response_Secondary,0.04759329
cat__Demographics Response_Rural,0.047372133
cat__Demographics Response_25-34,0.045880597
cat__Demographics Response_Employed for cash,0.04575054
cat__Demographics Response_Unemployed,0.044526506
cat__Demographics Response_Married or living together,0.04414801
cat__Demographics Question_Education,0.044083614
cat__Demographics Response_35-49,0.033307
cat__Demographics Question_Employment,0.02131493
cat__Demographics Response_No education,0.017530572
cat__Demographics Response_Primary,0.014480563
cat__Gender_F,0.0
num__SurveyYear,0.0
