feature,importance
cat__Demographics Response_Higher,0.28055367
cat__Demographics Response_Unemployed,0.09381584
cat__Demographics Response_35-49,0.07201127
cat__Demographics Response_Employed for kind,0.06995443
cat__Demographics Response_25-34,0.05160049
cat__Demographics Response_Urban,0.048941445
cat__Demographics Question_Residence,0.04745571
cat__Demographics Response_Secondary,0.04352899
cat__Gender_M,0.030610144
cat__Demographics Question_Age,0.028980056
cat__Demographics Response_Primary,0.02797845
cat__Demographics Response_Employed for cash,0.026611432
cat__Demographics Response_15-24,0.026033781
cat__Demographics Response_No education,0.025466194
cat__Demographics Response_Married or living together,0.025132334
cat__Demographics Question_Education,0.024232658
cat__Demographics Response_Rural,0.023888791
cat__Demographics Question_Employment,0.023357395
cat__Gender_F,0.019234292
cat__Demographics Question_Marital status,0.01061256
cat__Demographics Response_Never married,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
num__SurveyYear,0.0
