feature,importance
cat__Gender_M,0.2710202
cat__Gender_F,0.24191484
"cat__Demographics Response_Widowed, divorced, separated",0.1498276
cat__Demographics Response_Married or living together,0.09944518
cat__Demographics Question_Marital status,0.04761419
cat__Demographics Response_Higher,0.036260065
cat__Demographics Question_Age,0.02908175
cat__Demographics Response_15-24,0.026801862
cat__Demographics Response_Urban,0.018442485
cat__Demographics Response_25-34,0.017669432
cat__Demographics Response_Employed for kind,0.0157313
cat__Demographics Response_Never married,0.0137358755
cat__Demographics Response_Rural,0.0131169455
cat__Demographics Response_Secondary,0.008908892
cat__Demographics Question_Employment,0.005421789
cat__Demographics Response_Employed for cash,0.0050076465
cat__Demographics Response_35-49,0.0
cat__Demographics Response_Unemployed,0.0
cat__Demographics Question_Residence,0.0
cat__Demographics Question_Education,0.0
num__SurveyYear,0.0
