feature,importance
cat__Demographics Response_Higher,0.14312597
cat__Demographics Question_Marital status,0.13638641
cat__Demographics Response_Employed for cash,0.10134982
cat__Demographics Response_Secondary,0.07643676
cat__Demographics Response_Urban,0.07413152
cat__Demographics Response_15-24,0.06968012
cat__Demographics Response_Unemployed,0.06440844
cat__Demographics Question_Employment,0.05882197
cat__Demographics Response_Employed for kind,0.056599475
cat__Demographics Response_Never married,0.05510656
cat__Demographics Response_No education,0.054318268
cat__Demographics Response_Rural,0.033211213
cat__Demographics Question_Education,0.025095196
cat__Demographics Response_35-49,0.021554673
cat__Demographics Response_Primary,0.016684929
cat__Demographics Question_Age,0.0075521655
cat__Demographics Response_Married or living together,0.0055364724
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Gender_F,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Question_Residence,0.0
num__SurveyYear,0.0
