iso3,Violence_part2_all,gii_latest,gii_year,gdi_latest,gdi_year,hdi_latest,hdi_year,electoral-democracy-index_year,electoral-democracy-index_latest,women-political-empowerment-index_year,women-political-empowerment-index_latest,liberal-democracy-index_year,liberal-democracy-index_latest
AFG,44.5,0.661,2023.0,0.66,2023.0,0.496,2023.0,2024,0.081,2024,0.045,2024,0.016
ALB,3.75,0.107,2023.0,0.963,2023.0,0.81,2023.0,2024,0.507,2024,0.905,2024,0.396
AGO,11.8,0.515,2023.0,0.906,2023.0,0.616,2023.0,2024,0.34,2024,0.768,2024,0.164
ARM,6.949999999999999,0.18,2023.0,1.006,2023.0,0.811,2023.0,2024,0.623,2024,0.892,2024,0.414
AZE,33.95,0.315,2023.0,0.983,2023.0,0.789,2023.0,2024,0.175,2024,0.621,2024,0.054
BGD,14.65,0.487,2023.0,0.918,2023.0,0.685,2023.0,2024,0.201,2024,0.602,2024,0.068
BEN,12.65,0.573,2023.0,0.866,2023.0,0.515,2023.0,2024,0.501,2024,0.893,2024,0.329
BOL,5.35,0.419,2023.0,0.961,2023.0,0.733,2023.0,2024,0.576,2024,0.8,2024,0.314
BFA,19.65,0.555,2023.0,0.881,2023.0,0.459,2023.0,2024,0.156,2024,0.616,2024,0.129
BDI,25.85,0.501,2023.0,0.932,2023.0,0.439,2023.0,2024,0.175,2024,0.657,2024,0.072
KHM,15.6,0.506,2023.0,0.939,2023.0,0.606,2023.0,2024,0.186,2024,0.505,2024,0.056
CMR,20.8,0.558,2023.0,0.898,2023.0,0.588,2023.0,2024,0.286,2024,0.794,2024,0.14
TCD,41.85,0.67,2023.0,0.787,2023.0,0.416,2023.0,2024,0.204,2024,0.603,2024,0.054
COL,1.6,0.393,2023.0,0.992,2023.0,0.788,2023.0,2024,0.701,2024,0.813,2024,0.557
COM,12.85,0.501,2023.0,0.929,2023.0,0.603,2023.0,2024,0.282,2024,0.551,2024,0.107
COG,34.2,0.565,2023.0,0.924,2023.0,0.649,2023.0,2024,0.254,2024,0.474,2024,0.117
NAN,42.55,,,,,,,2024,0.3287347,2024,0.67624587,2024,0.23089796
DOM,1.05,0.417,2023.0,1.024,2023.0,0.776,2023.0,2024,0.705,2024,0.818,2024,0.45
EGY,20.55,0.398,2023.0,0.895,2023.0,0.754,2023.0,2024,0.186,2024,0.574,2024,0.129
ERI,48.7,,,,,0.503,2023.0,2024,0.068,2024,0.142,2024,0.009
ETH,23.5,0.497,2023.0,0.886,2023.0,0.497,2023.0,2024,0.263,2024,0.676,2024,0.098
GAB,19.15,0.505,2023.0,0.994,2023.0,0.733,2023.0,2024,0.229,2024,0.808,2024,0.155
GMB,23.6,0.578,2023.0,0.959,2023.0,0.524,2023.0,2024,0.634,2024,0.809,2024,0.507
GHA,9.7,0.514,2023.0,0.933,2023.0,0.628,2023.0,2024,0.669,2024,0.797,2024,0.567
GTM,3.2,0.48,2023.0,0.934,2023.0,0.662,2023.0,2024,0.597,2024,0.717,2024,0.469
